Date,Type,Category,Account,Description,Amount
2025-11-09,Expense,Other,HDFC,ammaji,1050.0
2025-11-09,Expense,Other,SBIcc,victory bazaar,236.0
2025-11-08,Income,Other,Union,dividend,27.0
2025-11-08,Expense,Other,SBIcc,medicines,70.0
2025-11-08,Income,saroj,HDFC,received,30000.0
2025-11-08,Expense,tanuj,HDFC,gift,2000.0
2025-11-08,Expense,Other,SBIcc,food,240.0
2025-11-08,Expense,Other,HDFC,ccbill,25422.0
2025-11-07,Income,Other,SBIcc,bill,13180.0
2025-11-07,Expense,ksn,SBIcc,recharge,800.0
2025-11-07,Expense,Other,HDFC,fascino,850.0
2025-11-06,Expense,Other,SBIcc,recharge,183.0
2025-11-06,Expense,Other,SBIcc,vegetables,235.0
2025-11-06,Expense,Other,nCChdfc,tatasky,200.0
2025-11-06,Expense,Other,nCChdfc,xerox,120.0
2025-11-06,Expense,Other,HDFC,kirana,170.0
2025-11-05,Expense,Other,HDFC,milk,45.0
2025-11-04,Expense,ammaji,cash,purchase,1800.0
2025-11-04,Income,Other,HDFC,lease,100000.0
2025-11-04,Expense,Other,HDFC,transfer,20000.0
2025-11-04,Expense,Other,cash,pothu,1500.0
2025-11-04,Income,Other,HDFC,cb,104.0
2025-11-04,Income,Other,SBIcc,bill,8035.0
2025-11-04,Expense,Other,SBIcc,train,1750.0
2025-11-04,Expense,Other,SBIcc,banana,100.0
2025-11-04,Expense,Other,SBIcc,kirana,230.0
2025-11-04,Expense,Other,SBIcc,cake,500.0
2025-11-02,Income,Other,FAxisCC,cb,16.0
2025-11-02,Expense,Other,HDFC,chetak,2135.0
2025-11-02,Expense,Other,nCChdfc,misc,80.0
2025-11-02,Expense,mavayya garu,nCChdfc,bus,474.0
2025-11-02,Expense,Other,iAxis,iron,16900.0
2025-11-02,Income,Other,SBIcc,bill,8959.0
2025-11-02,Expense,Other,cash,gonu sanchi,600.0
2025-11-02,Expense,Other,HDFC,milk,100.0
2025-11-01,Expense,Other,SBIcc,transfer,1020.0
2025-11-01,Income,Other,LICICI,commission,2640.0
2025-11-01,Expense,Other,HDFC,tea,30.0
2025-11-01,Expense,Other,HDFC,bricks,36700.0
2025-11-01,Expense,Other,HDFC,milk,100.0
2025-11-01,Income,Other,Axisneo,bill,3513.0
2025-11-01,Income,Other,SBIcc,bill,10149.0
2025-11-01,Expense,Other,nCChdfc,petrol,400.0
2025-10-12,Expense,Other,HDFC,cement,11700.0
2025-10-12,Expense,Other,nCChdfc,train,437.0
2025-10-12,Expense,Other,nCChdfc,milk,120.0
2025-10-12,Income,Other,SBIcc,bill,6273.0
2025-10-11,Income,Other,FAxisCC,cb,101.0
2025-10-11,Income,Other,HDFC,cb,29.0
2025-10-11,Expense,Other,cash,temple,100.0
